english,spanish,gender
constituency,la circunscripción,
paint,la pintura,
toilet,el inodoro,
ghost,el fantasma,
attraction,la atracción,
lion,el león,
craft,la nave,
custom,la costumbre,
cliff,el acantilado,
palace,el palacio,
grip,la empuñadura,
protein,la proteína,
accuracy,la exactitud,
theft,el robo,
widow,la viuda,
acceptance,la aceptación,
accent,el acento,
smell,el olor,
departure,la salida,
membership,los miembros,
expertise,la experiencia,
repair,la reparación,
assembly,la asamblea,
summary,el resumen,
logic,la lógica,
boundary,el límite,
equivalent,el equivalente,
holder,el titular,
dimension,la dimensión,
rail,el riel,
transaction,la transacción,
left,la izquierda,
sequence,la secuencia,
festival,el festival,
pit,el pozo,
horizon,el horizonte,
bowl,el cuenco,
purchase,la compra,
plaintiff,el demandante,
aunt,la tía,
equity,la equidad,
load,la carga,
scope,el alcance,
darkness,la oscuridad,
sandwich,el sándwich,
parish,la parroquia,
closure,el cierre,
pile,la pila,
ownership,la propiedad,
origin,el origen,
defender,el defensor,
circuit,el circuito de,
introduction,la introducción,
mode,el modo de,
discount,el descuento,
equation,la ecuación,
entity,la entidad,
kit,el kit,
psychology,la psicología,
virtue,la virtud,
flexibility,la flexibilidad,
trainer,el entrenador,
continent,el continente,
trader,el comerciante,
bath,el baño,
brick,el ladrillo,
indicator,el indicador,
seller,el vendedor,
promotion,la promoción,
clash,el choque,
characteristic,la característica,
coin,la moneda,
assurance,la garantía,
proposition,la proposición,
tongue,la lengua,
minimum,el mínimo,
collector,el colector,
capitalism,el capitalismo,
basket,la cesta,
framework,el marco,
consciousness,la conciencia,
switch,el interruptor,
rent,el alquiler,
curve,la curva,
cotton,el algodón,
patch,el parche,
import,la importación,
isolation,el aislamiento,
entrance,la entrada,
necessity,la necesidad,
square,la plaza,
venture,la empresa,
steam,el vapor,
agriculture,la agricultura,
transformation,la transformación,
sheep,las ovejas,
brush,el cepillo,
database,la base de datos,
deposit,el depósito,
menu,el menú,
adjustment,el ajuste,
triumph,el triunfo,
consumption,el consumo,
guardian,el guardián,
curtain,la cortina,
satisfaction,la satisfacción,
calculation,el cálculo,
fleet,la flota,
remedy,el remedio,
lane,el carril,
certificate,el certificado,
swimming,la natación,
emission,la emisión,
fabric,la tela,
medium,el medio,
efficiency,la eficiencia,
interaction,la interacción,
cab,la cabina,
easter,la Pascua,
glory,la gloria,
reception,la recepción,
productivity,la productividad,
acid,el ácido,
servant,el siervo,
evaluation,la evaluación,
mill,el molino,
exhibition,la exposición,
sum,la suma,
counterpart,la contraparte,
sergeant,el sargento,
storage,el almacenamiento,
fraction,la fracción,
innovation,la innovación,
stance,la postura,
motor,el motor,
format,el formato,
particle,la partícula,
trace,la traza,
fluid,el fluido,
curriculum,el plan de estudios,
doctrine,la doctrina,
developer,el desarrollador,
pause,la pausa,
removal,la eliminación,
sensation,la sensación,
dividend,el dividendo,
monopoly,el monopolio,
gallery,la galería,
lecture,la conferencia,
taxi,el taxi,
discretion,la discreción,
flesh,la carne,
merchant,el comerciante,
quantity,la cantidad,
darling,el niño mimado,
justification,la justificación,
painter,el pintor,
mixture,la mezcla de,
breach,el incumplimiento,
lift,el ascensor,
pond,el estanque,
cheek,la mejilla,
successor,el sucesor,
registration,el registro,
consultation,la consulta,
qualification,la calificación,
supplier,el proveedor,
autumn,el otoño,
hardware,el hardware,
leather,el cuero,
rabbit,el conejo,
paragraph,el párrafo,
companion,el compañero,
bulk,la mayor parte,
corridor,el corredor,
workshop,el taller,
shade,la sombra,
accountant,el contador,
sword,la espada,
formation,la formación,
integration,la integración,
expenditure,los gastos,
input,la entrada,
rod,la varilla,
complexity,la complejidad,
skirt,la falda,
insect,el insecto,
transport,el transporte,
mortality,La mortalidad,
slope,la pendiente,
restoration,la restauración,
nest,el nido,
variation,la variación,
composition,la composición,
crown,la corona,
probability,la probabilidad,
liberation,la liberación,
attendance,la asistencia,
organism,el organismo,
conservation,la conservación,
sculpture,la escultura,
champagne,el champagne,
architecture,la arquitectura,
other,el otro,
lord,el señor,
tv,la tv,
van,la furgoneta,
directory,el directorio,
hundred,el cien,
dozen,la docena,
treasury,la tesorería,
petrol,la gasolina,
purchaser,el comprador,
terrace,la terraza,
avenue,la avenida,
thousand,los mil,
sociology,la sociología,
inn,la posada,
colony,la colonia,
association,la asociación,
prince,el príncipe,
corp,la corp,
lad,el muchacho,
catalogue,el catálogo,
magistrate,el magistrado,
allocation,la asignación,
harbour,el puerto,
solicitor,el abogado,
traveller,el viajero,
earl,el conde,
humour,el humor,
pope,el Papa,
mrs,la señora,
behaviour,el comportamiento,
bill,el proyecto de ley,
mark,la marca,
criterion,el criterio,
duke,el duque,
red,la roja,
federation,la federación,
jew,el judio,
colonel,el coronel,
shit,la mierda,
eagle,el águila,
centre,el centro,
miss,la señorita,
fig,el higo,
institute,el instituto,
bay,la bahía,
honour,el honor,
classification,la clasificación,
councillor,el concejal,
constable,el alguacil,
bureau,la oficina,
mile,la milla,
proceeding,el procedimiento,
judgement,la sentencia,
cheque,el cheque,
no,la no,
queen,la reina,
valley,el valle,
billion,los mil millones,
inch,la pulgada,
stairs,las escaleras,
fibre,la fibra,
acre,el acre,
white,el blanco,
lake,el lago,
god,el dios,
enquiry,la investigación,
princess,la princesa,
rubbish,la basura,
tonne,la tonelada,
navy,la marina,
chap,el cap,
million,el millón,
programme,el programa,
organisation,la organización,
republic,la república,
percent,el porcentaje,
mummy,la momia,
favourite,el favorito,
cm,el cm,
illustration,la ilustración,
tory,la his-,
aids,las ayudas,
theatre,el teatro,
licence,la licencia,
metre,el metro,
constitution,la constitución,
junction,la unión,
interface,la interfaz,
gaze,la mirada,
pensioner,el pensionista,
builder,el constructor,
university,la universidad,
park,el parque,
hill,la colina,
neighbour,el vecino,
unix,el unix,
favour,el favor,
borough,la ciudad,
redundancy,la redundancia,
king,el rey,
co,la co,
ref,el árbitro,
lifespan,la vida útil,
abbey,la abadía,
rumour,el rumor,
cupboard,el armario,
council,el ayuntamiento,
colour,el color,
dollar,el dólar,
commonwealth,la mancomunidad,
county,el condado,
mum,la momia,
rose,la rosa,
vat,la cuba,
photo,la foto,
lorry,el camión,
labour,la mano de obra,
defence,la defensa,
earth,la tierra,
flat,la plana,
offence,el delito,
daddy,el papá,
appendix,el apéndice,
whisky,el whisky,
isle,la isla,
go,la marcha,
villa,la villa,
tutor,el tutor,
archbishop,el arzobispo,
photograph,la fotografía,
specification,la especificación,
polytechnic,la politécnica,
bush,la zarza,
frequency,la frecuencia,
seminar,el seminario,
interior,el interior,
verse,el verso,
receipt,el recibo,
breed,la raza,
measurement,la medición,
palm,la palma,
dock,el muelle,
pc,el pc,
disadvantage,la desventaja,
installation,la instalación,
advertisement,el anuncio,
implementation,la implementación,
portfolio,la cartera,
timber,la madera,
clause,la cláusula,
discourse,el discurso,
disc,el disco,
blade,la cuchilla,
ratio,la relación,
mineral,el mineral,
outline,el contorno,
addition,la adición,
machinery,la maquinaria,
canal,el canal,
local,lo local,
disposal,la eliminación,
refusal,la negativa,
domain,el dominio,
register,el registro,
audit,la auditoría,
availability,la disponibilidad,
acquisition,la adquisición,
autonomy,la autonomía,
silk,la seda,
beam,el haz,
accommodation,el alojamiento,
applicant,el solicitante,
modification,la modificación,
tin,el estaño,
fragment,el fragmento,
tenant,el inquilino,
conversion,la conversión,
vendor,el vendedor,
practitioner,el practicante,
delight,el deleite,
filter,el filtro,
bronze,el bronce,
doorway,la puerta,
incidence,la incidencia,
lease,el contrato de arrendamiento,
constraint,la restricción,
cloth,el paño,
nursery,el vivero,
creditor,el acreedor,
taxation,la imposición,
disk,el disco,
dictionary,el diccionario,
conception,la concepción,
trustee,el fiduciario,
molecule,la molécula,
holding,la celebración,
cottage,la casa de campo,
landlord,el arrendador,
succession,la sucesión,
warmth,el calor,
spell,el hechizo,
chapel,la capilla,
leisure,el ocio,
reign,el reinado,
reply,la respuesta,
duration,la duración,
castle,el castillo,
hierarchy,la jerarquía,
correlation,la correlación,
exclusion,la exclusión,
pub,el pub,
hypothesis,la hipótesis,
lamp,la lámpara,
sphere,la esfera,
chancellor,el canciller,
peasant,el campesino,
output,la salida,
emperor,el emperador,
glance,la mirada,
specimen,el espécimen,
directive,la directiva,
thesis,la tesis,
working,el trabajo,
oak,el roble,
turnover,el volumen de negocios,
allowance,el subsidio,
tray,la bandeja,
auditor,el auditor,
server,el servidor,
cathedral,la catedral,
pity,la piedad,
variable,la variable,
clay,la arcilla,
carriage,el carro,
cinema,el cine,
leaflet,el folleto,
copper,el cobre,
density,la densidad,
subsidiary,la filial,
dismissal,el despido,
completion,la finalización,
processor,el procesador,
packet,el paquete,
wool,la lana,
heading,el encabezamiento,
grammar,la gramática,
pavement,el pavimento,
receiver,el receptor,
module,el módulo,
railway,el ferrocarril,
pupil,la pupila,
cricket,el grillo,
printer,la impresora,
interval,el intervalo,
diagram,el diagrama,
bastard,el hijo de puta,
